Date,Time (UTC),Booster Version,Dragon Version,Launch Site,Mission,Payload Mass (kg),Payload Mass (lb),Payload Type,Payload Manufacturer,Orbit,Customer,Customer Type,Customer Country,Mission Outcome,Landing Outcome,Drone Ship,Drone Ship Type,Notes
06-01-2014,22:06:00,F9 v1.1,Dragon Not Used,CCAFS LC-40,Thaicom 6,"3,325",7332,Communication Satellite,Orbital ATK,GTO,Thaicom,Business,Thailand,Success,No attempt,No Ship Used,No Ship Used,"The Thai communication satellite was the second GTO launch for Falcon 9. The USAF evaluated launch data from this flight as part of a separate certification program for SpaceX to qualify to fly military payloads, but found that the launch had ""unacceptable fuel reserves at engine cutoff of the stage 2 second burnoff"". Thaicom-6 was inserted into a Super-Synchronous Transfer Orbit of 90,039 km (55,948 mi) in apogee with an inclination of 22.46° to the equator."
18-04-2014,19:25:00,F9 v1.1,C105,CCAFS LC-40,SpaceX CRS-3,"2,296",5063,Space Station Supplies,NASA,LEO (ISS),NASA (CRS),Government,United States of America,Success,Controlled (ocean),No Ship Used,No Ship Used,"Following second-stage separation, SpaceX conducted a second controlled-descent test of the discarded booster vehicle and achieved the first successful controlled ocean touchdown of a liquid-rocket-engine orbital booster. Following the soft touchdown, the first stage tipped over as expected and was destroyed. This was the first Falcon 9 booster to fly with extensible landing legs and the first Dragon mission with the Falcon 9 v1.1 launch vehicle. This flight also launched the ELaNa 5 mission for NASA as a secondary payload."
14-07-2014,15:15:00,F9 v1.1,Dragon Not Used,CCAFS LC-40,OG2 Mission 1  6 Orbcomm-OG2 satellites,"1,316",2902,Communication Satellite,Sierra Nevada Corporation,LEO,Orbcomm,Business,United States of America,Success,Controlled (ocean),No Ship Used,No Ship Used,"Payload included six satellites weighing 172 kg (379 lb) each and two 142 kg (313 lb) mass simulators. Equipped for the second time with landing legs, the first-stage booster successfully conducted a controlled-descent test consisting of a burn for deceleration from hypersonic velocity in the upper atmosphere, a reentry burn, and a final landing burn before soft-landing on the ocean surface."
05-08-2014,08:00:00,F9 v1.1,Dragon Not Used,CCAFS LC-40,AsiaSat 8,"4,535",10000,Communication Satellite,SSL,GTO,AsiaSat,Business,China,Success,No attempt,No Ship Used,No Ship Used,First time SpaceX managed a launch site turnaround between two flights of under a month (22 days). GTO launch of the large communication satellite from Hong Kong did not allow for propulsive return-over-water and controlled splashdown of the first stage.
07-09-2014,05:00:00,F9 v1.1 B1011,Dragon Not Used,CCAFS LC-40,AsiaSat 6,"4,428",9764,Communication Satellite,SSL,GTO,AsiaSat,Business,China,Success,No attempt,No Ship Used,No Ship Used,Launch was delayed for two weeks for additional verifications after a malfunction observed in the development of the F9R Dev1 prototype. GTO launch of the heavy payload did not allow for controlled splashdown.
21-09-2014,05:52:00,F9 v1.1 B1010,C106.1,CCAFS LC-40,SpaceX CRS-4,"2,216",4886,Space Station Supplies,NASA,LEO (ISS),NASA (CRS),Government,United States of America,Success,Uncontrolled (ocean),No Ship Used,No Ship Used,"Fourth attempt of a soft ocean touchdown, but the booster ran out of liquid oxygen. Detailed thermal imaging infrared sensor data was collected however by NASA, as part of a joint arrangement with SpaceX as part of research on retropropulsive deceleration technologies for developing new approaches to Martian atmospheric entry."
10-01-2015,09:47:00,F9 v1.1 B1012,C107,CCAFS LC-40,SpaceX CRS-5,"2,395",5281,Space Station Supplies,NASA,LEO (ISS),NASA (CRS),Government,United States of America,Success,Failure  (drone ship),Just Read The Instructions,Marmac 300,"Following second-stage separation, SpaceX attempted to return the first stage for the first time to a 90 m Ã— 50 m (300 ft Ã— 160 ft) floating platform €” called the autonomous spaceport drone ship. The test achieved many objectives and returned a large amount of data, but the grid-fin control surfaces used for the first time for more precise reentry positioning ran out of hydraulic fluid for its control system a minute before landing, resulting in a landing crash."
11-02-2015,23:03:00,F9 v1.1 B1013,Dragon Not Used,CCAFS LC-40,DSCOVR,570,1257,Weather Satellite,NASA,SSO,U.S. Air Force NASA NOAA,Government,United States of America,Success,Controlled (ocean),No Ship Used,No Ship Used,"First launch under USAF's OSP 3 launch contract. First SpaceX launch to put a satellite beyond a geostationary transfer orbit, first SpaceX launch into interplanetary space, and first SpaceX launch of an American research satellite. The first stage made a test flight descent to an over-ocean landing within 10 m (33 ft) of its intended target. The satellite launched into a 187 km x 1,241,000 km insertion orbit toward the Sun-Earth L1 point."
02-03-2015,03:50:00,F9 v1.1 B1014,Dragon Not Used,CCAFS LC-40,ABS-3A Eutelsat 115 West B,"4,159",9171,Communication Satellite,Boeing,GTO,ABS Eutelsat,Business,France,Success,No attempt,No Ship Used,No Ship Used,"The launch was Boeing's first conjoined launch of a lighter-weight dual-commsat stack that was specifically designed to take advantage of the lower-cost SpaceX Falcon 9 launch vehicle. Per satellite, launch costs were less than US$30 million. The ABS satellite reached its final destination ahead of schedule and started operations on 10 September 2015."
14-04-2015,20:10:00,F9 v1.1 B1015,C108.1,CCAFS LC-40,SpaceX CRS-6,"1,898",4185,Space Station Supplies,NASA,LEO (ISS),NASA (CRS),Government,United States of America,Success,Failure  (drone ship),Just Read The Instructions,Marmac 300,"After second-stage separation, a controlled-descent test was attempted with the first stage. After the booster contacted the ship, it tipped over due to excess lateral velocity caused by a stuck throttle valve that delayed downthrottle at the correct time."
27-04-2015,23:03:00,F9 v1.1 B1016,Dragon Not Used,CCAFS LC-40,TurkmenAlem 52°E / MonacoSAT,"4,707",10379,Communication Satellite,Thales Alenia Space,GTO,Turkmenistan National Space Agency,Government,Turkmenistan,Success,No attempt,No Ship Used,No Ship Used,Original intended launch was delayed over a month after an issue with the helium pressurisation system was identified on similar parts in the assembly plant. Subsequent launch successfully positioned this first Turkmen satellite at 52.0° east.
28-06-2015,14:21:00,F9 v1.1 B1018,C109,CCAFS LC-40,SpaceX CRS-7,"1,952",4304,Space Station Supplies,NASA,LEO (ISS),NASA (CRS),Government,United States of America,Failure  (in flight),Precluded  (drone ship),Of Course I Still Love You,Marmac 304,"Launch performance was nominal until an overpressure incident in the second-stage LOX tank, leading to vehicle breakup at T+150 seconds. Dragon capsule survived the explosion but was lost upon splashdown as its software did not contain provisions for parachute deployment on launch vehicle failure.(more details below) The drone ship Of Course I Still Love You was towed out to sea to prepare for a landing test so this mission was its first operational assignment."
22-12-2015,01:29:00,F9 FT B1019,Dragon Not Used,CCAFS LC-40,OG2 Mission 2   11 Orbcomm-OG2 satellites,"2,034",4485,Communication Satellite,Sierra Nevada Corporation,LEO,Orbcomm,Business,United States of America,Success,Success  (ground pad),No Ship Used,No Ship Used,"Payload included eleven satellites weighing 172 kg (379 lb) each, and a 142 kg (313 lb) mass simulator. First launch of the upgraded v1.1 version, with a 30% power increase. Orbcomm had originally agreed to be the third flight of the enhanced-thrust rocket, but the change to the maiden flight position was announced in October 2015. SpaceX received a permit from the FAA to land the booster on solid ground at Cape Canaveral and succeeded for the first time. This booster, serial number B1019, is now on permanent display outside SpaceX's headquarters in Hawthorne, California, at the intersection of Crenshaw Boulevard and Jack Northrop Avenue. (more details below)"
17-01-2016,18:42:00,F9 v1.1 B1017,Dragon Not Used,VAFB SLC-4E,Jason-3,553,1219,Weather Satellite,Thales Alenia Space,LEO,NASA (LSP) NOAA CNES,Government,United States of America,Success,Failure (drone ship),Just Read The Instructions,Marmac 303,"First launch of NASA and NOAA joint science mission under the NLS II launch contract (not related to NASA CRS or USAF OSP3 contracts) and last launch of the Falcon 9 v1.1 launch vehicle. The Jason-3 satellite was successfully deployed to target orbit.  SpaceX attempted for the first time to recover the first-stage booster on its new Pacific autonomous drone ship, but after a soft landing on the ship, the lockout on one of the landing legs failed to latch and the booster fell over and exploded."
04-03-2016,23:35:00,F9 FT B1020,Dragon Not Used,CCAFS LC-40,SES-9,"5,271",11623,Communication Satellite,Boeing,GTO,SES,Business,Luxembourg,Success,Failure (drone ship),Of Course I Still Love You,Marmac 304,"Second launch of the enhanced Falcon 9 Full Thrust launch vehicle. SpaceX attempted for the first time to recover a booster from a GTO launch to a drone ship. Successful landing was not expected due to low fuel reserves and the booster ""landed hard"". But the controlled-descent, atmospheric re-entry and navigation to the drone ship were successful and returned significant test data on bringing back high-energy Falcon 9 boosters."
08-04-2016,20:43:00,F9 FT B1021.1,C110.1,CCAFS LC-40,SpaceX CRS-8,"3,136",6915,Space Station Supplies,NASA,LEO (ISS),NASA (CRS),Government,United States of America,Success,Success  (drone ship),Of Course I Still Love You,Marmac 304,"Dragon carried over 1,500 kg (3,300 lb) of supplies and delivered the inflatable Bigelow Expandable Activity Module (BEAM) to the ISS for two years of in-orbit tests. The rocket's first stage landed smoothly on SpaceX's autonomous spaceport drone ship at 9 minutes after liftoff, making this the first successful landing of a rocket booster on a ship at sea from an orbital launch. The first stage B1021 later became the first orbital booster to be reused when it launched SES-10 on 30 March 2017. A month later, the Dragon spacecraft returned a downmass containing astronaut's Scott Kelly biological samples from his year-long mission on ISS.(more details below)"
06-05-2016,05:21:00,F9 FT B1022,Dragon Not Used,CCAFS LC-40,JCSAT-14,"4,696",10355,Communication Satellite,SSL,GTO,SKY Perfect JSAT Group,Business,Japan,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"First time SpaceX launched a Japanese satellite, and first time a booster landed successfully after launching a payload into a GTO. As this flight profile has a smaller margin for the booster recovery, the first stage re-entered Earth's atmosphere faster than for previous landings, with five times the heating power."
27-05-2016,21:39:00,F9 FT B1023.1,Dragon Not Used,CCAFS LC-40,Thaicom 8,"3,100",6836,Communication Satellite,Orbital ATK,GTO,Thaicom,Business,Thailand,Success,Success  (drone ship),Of Course I Still Love You,Marmac 304,"Second successful return from a GTO launch, after launching Thaicom 8 towards 78.5° east. Later became the first booster to be reflown after being recovered from a GTO launch. THAICOM 8 was delivered to a Super-Synchronous Transfer Orbit of 91,000 km (57,000 mi)."
15-06-2016,14:29:00,F9 FT B1024,Dragon Not Used,CCAFS LC-40,ABS-2A Eutelsat 117 West B,"3,600",7938,Communication Satellite,Boeing,GTO,ABS Eutelsat,Business,France,Success,Failure  (drone ship),Of Course I Still Love You,Marmac 304,"One year after pioneering this technique on Flight 16, Falcon again launched two Boeing 702SP gridded ion thruster satellites at 1,800 kg (4,000 lb) each, in a dual-stack configuration, with the two customers sharing the rocket and mission costs. First-stage landing attempt on drone ship failed due to low thrust on one of the three landing engines; a sub-optimal path led to the stage running out of propellant just above the deck of the landing ship, slamming to the drone ship, breaking a leg, and falling over."
18-07-2016,04:45:00,F9 FT B1025.1,C111.1,CCAFS LC-40,SpaceX CRS-9,"2,257",4977,Space Station Supplies,NASA,LEO (ISS),NASA (CRS),Government,United States of America,Success,Success (ground pad),No Ship Used,No Ship Used,"Cargo to ISS included an International Docking Adapter (IDA-2) and total payload with reusable Dragon Capsule was 6,457 kg (14,235 lb). Second successful first-stage landing on a ground pad."
14-08-2016,05:26:00,F9 FT B1026,Dragon Not Used,CCAFS LC-40,JCSAT-16,"4,600",10143,Communication Satellite,SSL,GTO,SKY Perfect JSAT Group,Business,Japan,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"First attempt to land from a ballistic trajectory using a single-engine landing burn, as all previous landings from a ballistic trajectory had fired three engines on the final burn. The latter provides more braking force but subjects the vehicle to greater structural stresses, while the single-engine landing burn takes more time and fuel while allowing more time during final descent for corrections."
14-01-2017,17:54:00,F9 FT B1029.1,Dragon Not Used,VAFB SLC-4E,Iridium NEXT 1,"9,600",21168,Communication Satellite,Orbital ATK,Polar LEO,Iridium Communications,Business,United States of America,Success,Success  (drone ship),Just Read The Instructions,Marmac 303,"Return-to-flight mission after the loss of Amos-6 in September 2016. This was the first launch of a series of Iridium NEXT satellites intended to replace the original Iridium constellation launched in the late 1990s. Each Falcon 9 mission carried 10 satellites, with a goal of 66 plus 9 spare satellites constellation by mid-2018. Following the delayed launch of the first two Iridium units with a Dnepr rocket from April 2016, Iridium Communications decided to launch the first batch of 10 satellites with SpaceX instead. Payload comprised ten satellites weighing 860 kg (1,900 lb) each plus a 1,000 kg (2,200 lb) dispenser."
19-02-2017,14:39:00,F9 FT B1031.1,C112.1,KSC LC-39A,SpaceX CRS-10,"2,490",5490,Space Station Supplies,NASA,LEO (ISS),NASA (CRS),Government,United States of America,Success,Success (ground pad),No Ship Used,No Ship Used,"First Falcon 9 flight from the historic LC-39A launchpad at Kennedy Space Center, and first uncrewed launch from LC-39A since Skylab-1. The flight carried supplies and materials to support ISS Expeditions 50 and 51, and third return of first stage booster to landing pad at Cape Canaveral Landing Zone 1."
16-03-2017,06:00:00,F9 FT B1030,Dragon Not Used,KSC LC-39A,EchoStar 23,"5,600",12348,Communication Satellite,Space Systems Loral,GTO,EchoStar,Business,United States of America,Success,No attempt,No Ship Used,No Ship Used,"First uncrewed non-station launch from LC-39A since Apollo 6. Launched a communications satellite for broadcast services over Brazil. Due to the payload size launch into a GTO, the booster was expended into the Atlantic Ocean and did not feature landing legs and grid fins."
30-03-2017,22:27:00,F9 FT  B1021.2,Dragon Not Used,KSC LC-39A,SES-10,"5,300",11687,Communication Satellite,Boeing,GTO,SES,Business,Luxembourg,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"First payload to fly on a reused first stage, B1021, previously launched with CRS-8, and first to land intact a second time. Additionally, this flight was the first reused rocket to fly from LC-39A since STS-135 and for the first time the payload fairing, used to protect the payload during launch, remained intact after a successful splashdown achieved with thrusters and a steerable parachute.(more details below)"
01-05-2017,11:15:00,F9 FT B1032.1,Dragon Not Used,KSC LC-39A,NROL-76,Classified,Classified,Communication Satellite,Classified,LEO,NRO,Government,United States of America,Success,Success (ground pad),No Ship Used,No Ship Used,"First launch under SpaceX's 2015 certification for national security space missions, which allowed SpaceX to contract launch services for classified payloads, and thus breaking the monopoly United Launch Alliance (ULA) held on classified launches since 2006. For the first time, SpaceX offered continuous livestream of first stage booster from liftoff to landing, but omitted second-stage speed and altitude telemetry."
15-05-2017,23:21:00,F9 FT B1034,Dragon Not Used,KSC LC-39A,Inmarsat-5 F4,"6,070",13384,Communication Satellite,Unknown,GTO,Inmarsat,Business,Britain,Success,No attempt,No Ship Used,No Ship Used,"The launch was originally scheduled for the Falcon Heavy, but performance improvements allowed the mission to be carried out by an expendable Falcon 9 instead.  Inmarsat-5 F4 is Inmarsat's ""largest and most complicated communications satellite ever built"". Inmarsat 5 F4 was delivered into an arcing ""supersynchronous"" transfer orbit of 381 km Ã— 68,839 km (237 mi Ã— 42,775 mi) in altitude, tilted 24.5° to the equator."
03-06-2017,21:07:00,F9 FT B1035.1,C106.2,KSC LC-39A,SpaceX CRS-11,"2,708",5971,Space Station Supplies,NASA,LEO (ISS),NASA (CRS),Government,United States of America,Success,Success (ground pad),No Ship Used,No Ship Used,"This mission delivered Neutron Star Interior Composition Explorer (NICER), Multiple User System for Earth Sensing Facility (MUSES), Roll Out Solar Array (ROSA), an Advanced Plant Habitat to the ISS, and Birds-1 payloads. This mission launched for the first time a refurbished Dragon capsule, serial number C106, which had flown in September 2014 on the SpaceX CRS-4 mission, and was the first time since 2011 a reused spacecraft arrived at the ISS. Five cubesats were included in the payload, the first satellites from the countries of Bangladesh (BRAC Onnesha), Ghana (GhanaSat-1), and Mongolia (Mazaalai)."
23-06-2017,19:10:00,F9 FT  B1029.2,Dragon Not Used,KSC LC-39A,BulgariaSat-1,"3,669",8090,Communication Satellite,SSL,GTO,Bulsatcom,Business,Bulgaria,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"Second time a booster was reused, as B1029 had flown the Iridium mission in January 2017. This was the first commercial Bulgarian-owned communications satellite."
25-06-2017,20:25:00,F9 FT B1036.1,Dragon Not Used,VAFB SLC-4E,Iridium NEXT 2,"9,600",21168,Communication Satellite,Oribital ATK,LEO,Iridium Communications,,United States of America,Success,Success (drone ship),Just Read The Instructions,Marmac 303,"Second Iridium constellation launch of 10 satellites, and first flight using titanium (instead of aluminium) grid fins to improve control authority and better cope with heat during re-entry."
05-07-2017,23:38:00,F9 FT B1037,Dragon Not Used,KSC LC-39A,Intelsat 35e,6761,14908,Communication Satellite,Boeing,GTO,Intelsat,Business,United States of America,Success,No attempt,No Ship Used,No Ship Used,"Originally expected to be flown on a Falcon Heavy, improvements to the Merlin engines meant that the heavy satellite could be flown to GTO in an expendable configuration of Falcon 9. The rocket achieved a supersynchronous orbit peaking at 43,000 km (27,000 mi), exceeding the minimum requirements of 28,000 km (17,000 mi). Intelsat 35e is the largest Intelsat's currently active satellite."
14-08-2017,16:31:00,F9 B4 B1039.1,C113.1,KSC LC-39A,SpaceX CRS-12,"3,310",7299,Space Station Supplies,NASA,LEO (ISS),NASA (CRS),Government,United States of America,Success,Success (ground pad),No Ship Used,No Ship Used,"Dragon carried 2,349 kg (5,179 lb) of pressurized and 961 kg (2,119 lb) unpressurized mass, including the Cosmic Ray Energetics and Mass Experiment (CREAM) detector. First flight of the upgrade known informally as ""Block 4"", which increases thrust from the main engines and includes other small upgrades, and last flight of a newly built Dragon capsule, as further missions are planned to use refurbished spacecraft. Also launched the Educational Launch of Nanosatellites ELaNa 22 mission."
24-08-2017,18:51:00,F9 FT B1038.1,Dragon Not Used,VAFB SLC-4E,Formosat-5,475,1047,Communication Satellite,NSO,SSO,NSPO,Government,Taiwan,Success,Success (drone ship),Just Read The Instructions,Marmac 303,"First Earth observation satellite developed and constructed by Taiwan. The payload was much under the rocket's specifications, as the Spaceflight Industries SHERPA space tug had been removed from the cargo manifest of this mission, leading to analyst speculations that with discounts due to delays, SpaceX lost money on the launch."
07-09-2017,14:00:00,F9 B4 B1040.1,Dragon Not Used,KSC LC-39A,Boeing X-37B OTV-5,"4,990",11003,Communication Satellite,Boeing,LEO,U.S. Air Force,Government,United States of America,Success,Success (ground pad),No Ship Used,No Ship Used,"Due to the classified nature of the mission, the second-stage speed and altitude telemetry were omitted from the launch webcast. Notably, the primary contractor, Boeing, had launched the X-37B with ULA, a Boeing partnership and a SpaceX competitor. Second flight of the Falcon 9 Block 4 upgrade."
09-10-2017,12:37:00,F9 B4 B1041.1,Dragon Not Used,VAFB SLC-4E,Iridium NEXT 3,"9,600",21168,Communication Satellite,Oribital ATK,Polar LEO,Iridium Communications,,United States of America,Success,Success (drone ship),Just Read The Instructions,Marmac 303,"Third flight of the Falcon 9 Block 4 upgrade, and the third launch of 10 Iridium NEXT satellites."
11-10-2017,22:53:00,F9 FT  B1031.2,Dragon Not Used,KSC LC-39A,SES-11 / EchoStar 105,"5,200",11466,Communication Satellite,Airbus,GTO,SES EchoStar,Business,Luxembourg,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"Third reuse and recovery of a previously flown first-stage booster, and the second time the contractor SES used a reflown booster. The large satellite is shared, in ""CondoSat"" arrangement between SES and EchoStar."
30-10-2017,19:34:00,F9 B4 B1042.1,Dragon Not Used,KSC LC-39A,Koreasat 5A,"3,500",7718,Communication Satellite,Thales Alenia Space,GTO,KT Corporation,Business,South Korea,Success,Success (drone ship),Of Course I Still Love You,Marmac 304,"First SpaceX launch of a South Korean satellite, placed in GEO at 113.0° east. It was the third launch and land for SpaceX in three weeks, and the 15th successful landing in a row. A small fire was observed under the booster after it landed, leading to speculations about damages to the engines which would preclude it from flying it again."
15-12-2017,15:36:00,F9 FT  B1035.2,C108.2,CCAFS SLC-40,SpaceX CRS-13,"2,205",4862,Space Station Supplies,NASA,LEO (ISS),NASA (CRS),Government,United States of America,Success,Success (ground pad),No Ship Used,No Ship Used,"First launch to take place at the refurbished pad at Cape Canaveral after the 2016 Amos-6 explosion, and the 20th successful booster landing. Being the second reuse of a Dragon capsule (previously flown on SpaceX CRS-6) and fourth reuse of a booster (previously flown on SpaceX CRS-11) it was the first time both major components were reused on the same flight."
23-12-2017,01:27:00,F9 FT  B1036.2,Dragon Not Used,VAFB SLC-4E,Iridium NEXT 4,"9,600",21168,Communication Satellite,Oribital ATK,Polar LEO,Iridium Communications,Business,United States of America,Success,Controlled (ocean),No Ship Used,No Ship Used,"In order to avoid delays and convinced of no increased risks, Iridium Communications accepted the use of a recovered booster for its 10 satellites, and became the first customer to fly the same first-stage booster twice (from the second Iridium NEXT mission). SpaceX chose not to attempt recovery of the booster, but did perform a soft ocean touchdown. The launch occurred during sunset, which caused a twilight effect where sunlight reflected from the rocket plumes at high altitude, causing ""jaw-dropping views"" across Southern California and surrounding regions."
08-01-2018,01:00:00,F9 B4 B1043.1,Dragon Not Used,CCAFS SLC-40,Zuma,Classified,Classified,Communication Satellite,Northrop Grumman,LEO,Northrop Grumman,Business,United States of America,Success  (payload status unclear),Success (ground pad),No Ship Used,No Ship Used,"The mission had been postponed by nearly two months. Following a nominal launch, the recovery of the first-stage booster marked the 17th successful recovery in a row. Rumors appeared that the payload was lost, as the satellite might have failed to separate from the second stage due to a fault in the Northrop Grumman-manufactured payload adapter, to which SpaceX announced that their rocket performed nominally. The classified nature of the mission means that there is little confirmed information.(more details below)"
31-01-2018,21:25:00,F9 FT  B1032.2,Dragon Not Used,CCAFS SLC-40,GovSat-1 / SES-16,"4,230",9327,Communication Satellite,Orbital ATK,GTO,SES,Business,Luxembourg,Success,Controlled (ocean),No Ship Used,No Ship Used,"Reused booster from the classified NROL-76 mission in May 2017. Following a successful experimental soft ocean landing that used three engines, the booster unexpectedly remained intact. Recovery was talked about and a Craigslist ad believed to be made by Elon Musk jokingly said the booster was for sale at US$9.9 million if the buyer brought their own tugboat. Despite this, recovery was not attempted, and the booster was subsequently destroyed. GovSat-1 satellite was put into a high-energy Supersynchronous Transfer Orbit of 250 km Ã— 51,500 km (160 mi Ã— 32,000 mi)."
